Author	Consortium	PMID	Date	Trait	EFO	Analysis	Source	Outcome	Exposure	Covariates	Outcome_Units	Exposure_Units	Methylation_Array	Tissue	Further_Details	N	N_Cohorts	Categories	Age	N_Males	N_Females	N_EUR	N_EAS	N_SAS	N_AFR	N_AMR	N_OTH	StudyID
Battram T	ARIES	-	09/04/2019	Acetate	-	-	-	DNA methylation	Acetate	Age and technical covariates	Beta values	mmol/l	Illumina HumanMethylation450	Whole blood	-	668	1	-	48	-	668	668	-	-	-	-	-	Battram-T_acetate
Battram T	ARIES	-	09/04/2019	Acetoacetate	-	-	-	DNA methylation	Acetoacetate	Age and technical covariates	Beta values	mmol/l	Illumina HumanMethylation450	Whole blood	-	662	1	-	48	-	662	662	-	-	-	-	-	Battram-T_acetoacetate
Battram T	ARIES	-	09/04/2019	Adiponectin	EFO_0004502	-	-	DNA methylation	Adiponectin	Age and technical covariates	Beta values	ng/ml	Illumina HumanMethylation450	Whole blood	-	275	1	-	47	-	275	275	-	-	-	-	-	Battram-T_adiponectin
Battram T	ARIES	-	09/04/2019	Alanine	EFO_0009765	-	-	DNA methylation	Alanine	Age and technical covariates	Beta values	mmol/l	Illumina HumanMethylation450	Whole blood	-	671	1	-	48	-	671	671	-	-	-	-	-	Battram-T_alanine
Battram T	ARIES	-	09/04/2019	Albumin signal area	-	-	-	DNA methylation	Albumin signal area	Age and technical covariates	Beta values		Illumina HumanMethylation450	Whole blood	-	672	1	-	48	-	672	672	-	-	-	-	-	Battram-T_albumin_signal_area
Battram T	ARIES	-	09/04/2019	Alpha neck angle	-	-	-	DNA methylation	Alpha neck angle	Age and technical covariates	Beta values		Illumina HumanMethylation450	Whole blood	-	648	1	-	48	-	648	648	-	-	-	-	-	Battram-T_alpha_neck_angle
Battram T	ARIES	-	09/04/2019	Android bone mass	-	-	-	DNA methylation	Android bone mass	Age and technical covariates	Beta values	g	Illumina HumanMethylation450	Whole blood	-	692	1	-	48	-	692	692	-	-	-	-	-	Battram-T_android_bone_mass
Battram T	ARIES	-	09/04/2019	Android fat free mass	-	-	-	DNA methylation	Android fat free mass	Age and technical covariates	Beta values	g	Illumina HumanMethylation450	Whole blood	-	688	1	-	48	-	688	688	-	-	-	-	-	Battram-T_android_fat_free_mass
Battram T	ARIES	-	09/04/2019	Android fat mass	-	-	-	DNA methylation	Android fat mass	Age and technical covariates	Beta values	g	Illumina HumanMethylation450	Whole blood	-	693	1	-	48	-	693	693	-	-	-	-	-	Battram-T_android_fat_mass
Battram T	ARIES	-	09/04/2019	Android lean mass	-	-	-	DNA methylation	Android lean mass	Age and technical covariates	Beta values	g	Illumina HumanMethylation450	Whole blood	-	688	1	-	48	-	688	688	-	-	-	-	-	Battram-T_android_lean_mass
Battram T	ARIES	-	09/04/2019	Android region fat	-	-	-	DNA methylation	Android region fat	Age and technical covariates	Beta values	g	Illumina HumanMethylation450	Whole blood	-	693	1	-	48	-	693	693	-	-	-	-	-	Battram-T_android_region_fat
Battram T	ARIES	-	09/04/2019	Android tissue fat	-	-	-	DNA methylation	Android tissue fat	Age and technical covariates	Beta values	g	Illumina HumanMethylation450	Whole blood	-	693	1	-	48	-	693	693	-	-	-	-	-	Battram-T_android_tissue_fat
Battram T	ARIES	-	09/04/2019	Android tissue mass	-	-	-	DNA methylation	Android tissue mass	Age and technical covariates	Beta values	g	Illumina HumanMethylation450	Whole blood	-	691	1	-	48	-	691	691	-	-	-	-	-	Battram-T_android_tissue_mass
Battram T	ARIES	-	09/04/2019	Android total mass	-	-	-	DNA methylation	Android total mass	Age and technical covariates	Beta values	g	Illumina HumanMethylation450	Whole blood	-	691	1	-	48	-	691	691	-	-	-	-	-	Battram-T_android_total_mass
Battram T	ARIES	-	09/04/2019	Androstenedione	EFO_0007972	-	-	DNA methylation	Androstenedione	Age and technical covariates	Beta values	nmol/l	Illumina HumanMethylation450	Whole blood	-	673	1	-	48	-	673	673	-	-	-	-	-	Battram-T_androstenedione
Battram T	ARIES	-	09/04/2019	Apolipoprotein A I	EFO_0004614	-	-	DNA methylation	Apolipoprotein A I	Age and technical covariates	Beta values	g/l	Illumina HumanMethylation450	Whole blood	-	671	1	-	48	-	671	671	-	-	-	-	-	Battram-T_apolipoprotein_a_i
Battram T	ARIES	-	09/04/2019	Apolipoprotein B	EFO_0004615	-	-	DNA methylation	Apolipoprotein B	Age and technical covariates	Beta values	g/l	Illumina HumanMethylation450	Whole blood	-	672	1	-	48	-	672	672	-	-	-	-	-	Battram-T_apolipoprotein_b
Battram T	ARIES	-	09/04/2019	Arm circumference	-	-	-	DNA methylation	Arm circumference	Age and technical covariates	Beta values	cm	Illumina HumanMethylation450	Whole blood	-	704	1	-	48	-	704	704	-	-	-	-	-	Battram-T_arm_circumference
Battram T	ARIES	-	09/04/2019	Arm area both	-	-	-	DNA methylation	Arm area both	Age and technical covariates	Beta values	cm2	Illumina HumanMethylation450	Whole blood	-	688	1	-	48	-	688	688	-	-	-	-	-	Battram-T_arm_area_both
Battram T	ARIES	-	09/04/2019	Arm bone mineral content both	EFO_0007621	-	-	DNA methylation	Arm bone mineral content both	Age and technical covariates	Beta values	g	Illumina HumanMethylation450	Whole blood	-	690	1	-	48	-	690	690	-	-	-	-	-	Battram-T_arm_bone_mineral_content_both
Battram T	ARIES	-	09/04/2019	Arm bone mineral density both	EFO_0007591	-	-	DNA methylation	Arm bone mineral density both	Age and technical covariates	Beta values	g/cm2	Illumina HumanMethylation450	Whole blood	-	693	1	-	48	-	693	693	-	-	-	-	-	Battram-T_arm_bone_mineral_density_both
Battram T	ARIES	-	09/04/2019	Arm bone mass both	-	-	-	DNA methylation	Arm bone mass both	Age and technical covariates	Beta values	g	Illumina HumanMethylation450	Whole blood	-	690	1	-	48	-	690	690	-	-	-	-	-	Battram-T_arm_bone_mass_both
Battram T	ARIES	-	09/04/2019	Arm fat free mass both	-	-	-	DNA methylation	Arm fat free mass both	Age and technical covariates	Beta values	g	Illumina HumanMethylation450	Whole blood	-	686	1	-	48	-	686	686	-	-	-	-	-	Battram-T_arm_fat_free_mass_both
Battram T	ARIES	-	09/04/2019	Arm fat mass both	-	-	-	DNA methylation	Arm fat mass both	Age and technical covariates	Beta values	g	Illumina HumanMethylation450	Whole blood	-	685	1	-	48	-	685	685	-	-	-	-	-	Battram-T_arm_fat_mass_both
Battram T	ARIES	-	09/04/2019	Arm lean mass both	-	-	-	DNA methylation	Arm lean mass both	Age and technical covariates	Beta values	g	Illumina HumanMethylation450	Whole blood	-	686	1	-	48	-	686	686	-	-	-	-	-	Battram-T_arm_lean_mass_both
Battram T	ARIES	-	09/04/2019	Arm region fat both	-	-	-	DNA methylation	Arm region fat both	Age and technical covariates	Beta values	g	Illumina HumanMethylation450	Whole blood	-	693	1	-	48	-	693	693	-	-	-	-	-	Battram-T_arm_region_fat_both
Battram T	ARIES	-	09/04/2019	Arm tissue fat both	-	-	-	DNA methylation	Arm tissue fat both	Age and technical covariates	Beta values	g	Illumina HumanMethylation450	Whole blood	-	693	1	-	48	-	693	693	-	-	-	-	-	Battram-T_arm_tissue_fat_both
Battram T	ARIES	-	09/04/2019	Arms tissue mass	-	-	-	DNA methylation	Arms tissue mass	Age and technical covariates	Beta values	g	Illumina HumanMethylation450	Whole blood	-	685	1	-	48	-	685	685	-	-	-	-	-	Battram-T_arms_tissue_mass
Battram T	ARIES	-	09/04/2019	Arm total mass both	-	-	-	DNA methylation	Arm total mass both	Age and technical covariates	Beta values	g	Illumina HumanMethylation450	Whole blood	-	685	1	-	48	-	685	685	-	-	-	-	-	Battram-T_arm_total_mass_both
Battram T	ARIES	-	09/04/2019	Arterial distensibility	PATO_0015008	-	-	DNA methylation	Arterial distensibility	Age and technical covariates	Beta values	mm	Illumina HumanMethylation450	Whole blood	-	691	1	-	48	-	691	691	-	-	-	-	-	Battram-T_arterial_distensibility
Battram T	ARIES	-	09/04/2019	Common carotid intima-media thickness	EFO_0004860	-	-	DNA methylation	Common carotid intima-media thickness	Age and technical covariates	Beta values	mm	Illumina HumanMethylation450	Whole blood	-	685	1	-	48	-	685	685	-	-	-	-	-	Battram-T_common_carotid_intima-media_thickness_
Battram T	ARIES	-	09/04/2019	Bone cross sectional area	-	-	-	DNA methylation	Bone cross sectional area	Age and technical covariates	Beta values	mm2	Illumina HumanMethylation450	Whole blood	-	658	1	-	48	-	658	658	-	-	-	-	-	Battram-T_bone_cross_sectional_area
Battram T	ARIES	-	09/04/2019	Cholesterol esters in chylomicrons and extremely large VLDL	EFO_0008589	-	-	DNA methylation	Cholesterol esters in chylomicrons and extremely large VLDL	Age and technical covariates	Beta values	mmol/l	Illumina HumanMethylation450	Whole blood	-	639	1	-	48	-	639	639	-	-	-	-	-	Battram-T_cholesterol_esters_in_chylomicrons_and_extremely_large_vldl
Battram T	ARIES	-	09/04/2019	Cholesterol esters in IDL	EFO_0008589	-	-	DNA methylation	Cholesterol esters in IDL	Age and technical covariates	Beta values	mmol/l	Illumina HumanMethylation450	Whole blood	-	672	1	-	48	-	672	672	-	-	-	-	-	Battram-T_cholesterol_esters_in_idl
Battram T	ARIES	-	09/04/2019	Cholesterol esters in large HDL	EFO_0008589	-	-	DNA methylation	Cholesterol esters in large HDL	Age and technical covariates	Beta values	mmol/l	Illumina HumanMethylation450	Whole blood	-	671	1	-	48	-	671	671	-	-	-	-	-	Battram-T_cholesterol_esters_in_large_hdl
Battram T	ARIES	-	09/04/2019	Cholesterol esters in large LDL	EFO_0008589	-	-	DNA methylation	Cholesterol esters in large LDL	Age and technical covariates	Beta values	mmol/l	Illumina HumanMethylation450	Whole blood	-	672	1	-	48	-	672	672	-	-	-	-	-	Battram-T_cholesterol_esters_in_large_ldl
Battram T	ARIES	-	09/04/2019	Cholesterol esters in large VLDL	EFO_0008589	-	-	DNA methylation	Cholesterol esters in large VLDL	Age and technical covariates	Beta values	mmol/l	Illumina HumanMethylation450	Whole blood	-	650	1	-	48	-	650	650	-	-	-	-	-	Battram-T_cholesterol_esters_in_large_vldl
Battram T	ARIES	-	09/04/2019	Cholesterol esters in medium HDL	EFO_0008589	-	-	DNA methylation	Cholesterol esters in medium HDL	Age and technical covariates	Beta values	mmol/l	Illumina HumanMethylation450	Whole blood	-	671	1	-	48	-	671	671	-	-	-	-	-	Battram-T_cholesterol_esters_in_medium_hdl
Battram T	ARIES	-	09/04/2019	Cholesterol esters in medium LDL	EFO_0008589	-	-	DNA methylation	Cholesterol esters in medium LDL	Age and technical covariates	Beta values	mmol/l	Illumina HumanMethylation450	Whole blood	-	670	1	-	48	-	670	670	-	-	-	-	-	Battram-T_cholesterol_esters_in_medium_ldl
Battram T	ARIES	-	09/04/2019	Cholesterol esters in medium VLDL	EFO_0008589	-	-	DNA methylation	Cholesterol esters in medium VLDL	Age and technical covariates	Beta values	mmol/l	Illumina HumanMethylation450	Whole blood	-	663	1	-	48	-	663	663	-	-	-	-	-	Battram-T_cholesterol_esters_in_medium_vldl
Battram T	ARIES	-	09/04/2019	Cholesterol esters in small HDL	EFO_0008589	-	-	DNA methylation	Cholesterol esters in small HDL	Age and technical covariates	Beta values	mmol/l	Illumina HumanMethylation450	Whole blood	-	671	1	-	48	-	671	671	-	-	-	-	-	Battram-T_cholesterol_esters_in_small_hdl
Battram T	ARIES	-	09/04/2019	Cholesterol esters in small LDL	EFO_0008589	-	-	DNA methylation	Cholesterol esters in small LDL	Age and technical covariates	Beta values	mmol/l	Illumina HumanMethylation450	Whole blood	-	670	1	-	48	-	670	670	-	-	-	-	-	Battram-T_cholesterol_esters_in_small_ldl
Battram T	ARIES	-	09/04/2019	Cholesterol esters in small VLDL	EFO_0008589	-	-	DNA methylation	Cholesterol esters in small VLDL	Age and technical covariates	Beta values	mmol/l	Illumina HumanMethylation450	Whole blood	-	670	1	-	48	-	670	670	-	-	-	-	-	Battram-T_cholesterol_esters_in_small_vldl
Battram T	ARIES	-	09/04/2019	Cholesterol esters in very large VLDL	EFO_0008589	-	-	DNA methylation	Cholesterol esters in very large VLDL	Age and technical covariates	Beta values	mmol/l	Illumina HumanMethylation450	Whole blood	-	621	1	-	48	-	621	621	-	-	-	-	-	Battram-T_cholesterol_esters_in_very_large_vldl
Battram T	ARIES	-	09/04/2019	Cholesterol esters in very small VLDL	EFO_0008589	-	-	DNA methylation	Cholesterol esters in very small VLDL	Age and technical covariates	Beta values	mmol/l	Illumina HumanMethylation450	Whole blood	-	670	1	-	48	-	670	670	-	-	-	-	-	Battram-T_cholesterol_esters_in_very_small_vldl
Battram T	ARIES	-	09/04/2019	Cholesterol esters to total lipids ratio in chylomicrons and XXL VLDL	EFO_0008589	-	-	DNA methylation	Cholesterol esters to total lipids ratio in chylomicrons and XXL VLDL	Age and technical covariates	Beta values	percent	Illumina HumanMethylation450	Whole blood	-	626	1	-	48	-	626	626	-	-	-	-	-	Battram-T_cholesterol_esters_to_total_lipids_ratio_in_chylomicrons_and_xxl_vldl
Battram T	ARIES	-	09/04/2019	Cholesterol esters to total lipids ratio in IDL	EFO_0008589	-	-	DNA methylation	Cholesterol esters to total lipids ratio in IDL	Age and technical covariates	Beta values	percent	Illumina HumanMethylation450	Whole blood	-	663	1	-	48	-	663	663	-	-	-	-	-	Battram-T_cholesterol_esters_to_total_lipids_ratio_in_idl
Battram T	ARIES	-	09/04/2019	Cholesterol esters to total lipids ratio in large HDL	EFO_0008589	-	-	DNA methylation	Cholesterol esters to total lipids ratio in large HDL	Age and technical covariates	Beta values	percent	Illumina HumanMethylation450	Whole blood	-	664	1	-	48	-	664	664	-	-	-	-	-	Battram-T_cholesterol_esters_to_total_lipids_ratio_in_large_hdl
Battram T	ARIES	-	09/04/2019	Cholesterol esters to total lipids ratio in large LDL	EFO_0008589	-	-	DNA methylation	Cholesterol esters to total lipids ratio in large LDL	Age and technical covariates	Beta values	percent	Illumina HumanMethylation450	Whole blood	-	668	1	-	48	-	668	668	-	-	-	-	-	Battram-T_cholesterol_esters_to_total_lipids_ratio_in_large_ldl
Battram T	ARIES	-	09/04/2019	Cholesterol esters to total lipids ratio in large VLDL	EFO_0008589	-	-	DNA methylation	Cholesterol esters to total lipids ratio in large VLDL	Age and technical covariates	Beta values	percent	Illumina HumanMethylation450	Whole blood	-	653	1	-	48	-	653	653	-	-	-	-	-	Battram-T_cholesterol_esters_to_total_lipids_ratio_in_large_vldl
Battram T	ARIES	-	09/04/2019	Cholesterol esters to total lipids ratio in medium HDL	EFO_0008589	-	-	DNA methylation	Cholesterol esters to total lipids ratio in medium HDL	Age and technical covariates	Beta values	percent	Illumina HumanMethylation450	Whole blood	-	670	1	-	48	-	670	670	-	-	-	-	-	Battram-T_cholesterol_esters_to_total_lipids_ratio_in_medium_hdl
Battram T	ARIES	-	09/04/2019	Cholesterol esters to total lipids ratio in medium LDL	EFO_0008589	-	-	DNA methylation	Cholesterol esters to total lipids ratio in medium LDL	Age and technical covariates	Beta values	percent	Illumina HumanMethylation450	Whole blood	-	664	1	-	48	-	664	664	-	-	-	-	-	Battram-T_cholesterol_esters_to_total_lipids_ratio_in_medium_ldl
