author	consortium	pmid	publication_date	trait	efo	analysis	source	outcome	exposure	covariates	outcome_unit	exposure_unit	array	tissue	further_details	n	n_studies	categories	age	n_males	n_females	n_eur	n_eas	n_sas	n_afr	n_amr	n_oth	id
Monick MM		22232023	2012-01-09	Smoking	EFO_0006527, EFO_0005671, EFO_0004318	Current vs never smoking	Table 2	DNA methylation	Smoking	Technical covariates	Beta values		Illumina HumanMethylation450	Lymphoblasts		119	1	39 current smokers, 80 non-smokers	45		119	119						22232023_smoking_current_vs_never_smoking
Philibert RA		23070629	2012-10-15	Smoking	EFO_0004318, EFO_0006527, EFO_0005671, EFO_0006526	Females only	Table 3	DNA methylation	Smoking	Technical covariates	Beta values		Illumina HumanMethylation450	Whole blood		218	1		19		218							23070629_smoking_females_only
Philibert RA		23070629	2012-10-15	Smoking	EFO_0004318, EFO_0006527, EFO_0005671, EFO_0006526	Males only	Table 2	DNA methylation	Smoking	Technical covariates	Beta values		Illumina HumanMethylation450	Whole blood		181	1		19	181								23070629_smoking_males_only
Shenker NS		23175441	2013-03-01	Smoking	EFO_0006527, EFO_0005671, EFO_0004318	Breast cancer cohort	Table S3	DNA methylation	Smoking	Age, case-control status and technical covariates	Beta values		Illumina HumanMethylation450	Peripheral blood		184	1	94 never smokers, 33 former smokers, 47 current smokers	50.5		184	184						23175441_smoking_breast_cancer_cohort
Shenker NS		23175441	2013-03-01	Smoking	EFO_0006527, EFO_0005671, EFO_0004318	Colon cancer cohort	Table S3	DNA methylation	Smoking	Age, case-control status and technical covariates	Beta values		Illumina HumanMethylation450	Peripheral blood		190	1	66 never smokers, 67 former smokers, 44 current smokers	55	136	54	190						23175441_smoking_colon_cancer_cohort
Yang BZ		23332324	2013-02-01	Child abuse			Appendix B	DNA methylation	Child abuse	Sex, age and ethnicity	Beta values		Illumina HumanMethylation450	Saliva		192	1	96 cases, 96 controls	10	81	111	33			58	73	29	23332324_child_abuse
Liu Y		23334450	2013-01-20	Rheumatoid arthritis	EFO_0000685		Table S3	DNA methylation	Rheumatoid arthritis	Age, sex, smoking and cell counts	Beta values		Illumina HumanMethylation450	Whole blood		691	1	354 cases, 337 controls	51.9	197	494	691						23334450_rheumatoid_arthritis
Wozniak MB		23526956	2013-03-05	Clear cell renal carcinoma	EFO_0000349, EFO_0000681		Table S6	DNA methylation	Clear cell renal carcinoma		M values		Illumina HumanMethylation450	Clear cell renal carcinoma tumour cells and adjacent healthy cells		129	1	129 tumour samples, 129 non-tumour samples	63	84	45	129						23526956_clear_cell_renal_carcinoma
Zeilinger S		23691101	2013-05-17	Smoking	EFO_0006527, EFO_0005671, EFO_0004318	Current vs never smoking discovery	Table S1	DNA methylation	Smoking	Age, sex, body mass index, alcohol consumption and cell counts	M values		Illumina HumanMethylation450	Whole blood		1011	1	262 current smokers, 749 never smokers	60.8	401	610	1011						23691101_smoking_current_vs_never_smoking_discovery
Zeilinger S		23691101	2013-05-17	Smoking	EFO_0006527, EFO_0005671, EFO_0004318	Current vs never smoking replication	Table S2	DNA methylation	Smoking	Age, sex, body mass index, alcohol consumption and cell counts	M values		Illumina HumanMethylation450	Whole blood		468	1	236 current smokers, 232 never smokers	53	237	231	468						23691101_smoking_current_vs_never_smoking_replication
Zeilinger S		23691101	2013-05-17	Smoking	EFO_0005671, EFO_0004318	Former vs never smoking	Table S1	DNA methylation	Smoking	Age, sex, body mass index, alcohol consumption and cell counts	M values		Illumina HumanMethylation450	Whole blood		1531	1	782 former smokers, 749 never smokers	61.5	731	800	1531						23691101_smoking_former_vs_never_smoking
Koestler DC		23868178	2013-07-19	Right vs left colon adenomas	EFO_0005406	Basic model	Table S1	DNA methylation	Right vs left colon adenomas	Age and sex	Beta values		Illumina HumanMethylation450	Colon adenoma	Methylation beta values were logit transformed prior to analysis	135	1	70 right-side colon adenomas, 65 left-side colon adenomas	60	82	53							23868178_right_vs_left_colon_adenomas_basic_model
Koestler DC		23868178	2013-07-19	Right vs left colon adenomas	EFO_0005406	Fully adjusted model	Table S1	DNA methylation	Right vs left colon adenomas	Age, sex, smoking status, colon polyp size and alcohol consumption	Beta values		Illumina HumanMethylation450	Colon adenomas	Methylation beta values were logit transformed prior to analysis	135	1	70 right-side colon adenomas, 65 left-side colon adenomas	60	82	53							23868178_right_vs_left_colon_adenomas_fully_adjusted_model
Philibert RA		24120260	2013-10-11	Smoking	EFO_0006527, EFO_0004318		Table 2	DNA methylation	Smoking	Technical covariates	Beta values		Illumina HumanMethylation450	Lymphocytes		101	1	64 smokers, 37 non-smokers	22	101					101			24120260_smoking
Florath I		24163245	2014-03-01	Age	EFO_0000246		Table 2	DNA methylation	Age	Sex, smoking behaviour, diabetes mellitus, cardiovascular disease, stroke, cancer and technical covariates	Beta values	Years	Illumina HumanMethylation450	Whole blood		498	1		62	259	239	498						24163245_age
Hidalgo B		24170695	2014-02-01	Fasting insulin	EFO_0004466	Discovery	Table 2	DNA methylation	Fasting insulin	Age, sex, study centre and technical covariates	Beta values		Illumina HumanMethylation450	CD4+ T-cells		544	1		48	258	286	544						24170695_fasting_insulin_discovery
Hidalgo B		24170695	2014-02-01	Fasting insulin	EFO_0004466	Replication	Table 4	DNA methylation	Fasting insulin	Age, sex, study centre and technical covariates	Beta values		Illumina HumanMethylation450	CD4+ T-cells		293	1		49	153	140	293						24170695_fasting_insulin_replication
Hidalgo B		24170695	2014-02-01	HOMA-IR	EFO_0004501	Discovery	Table 3	DNA methylation	HOMA-IR	Age, sex, study centre and technical covariates	Beta values		Illumina HumanMethylation450	CD4+ T-cells		544	1		48	258	286	544						24170695_homair_discovery
Hidalgo B		24170695	2014-02-01	HOMA-IR	EFO_0004501	Replication	Table 4	DNA methylation	HOMA-IR	Age, sex, study centre and technical covariates	Beta values		Illumina HumanMethylation450	CD4+ T-cells		293	1		49	153	140	293						24170695_homair_replication
Smyth LJ		24253112	2013-11-19	Chronic kidney disease	EFO_0003884		Table S2	DNA methylation	Chronic kidney disease	Age and sex	Beta values		Illumina HumanMethylation450	Whole blood		407	1	255 cases, 152 controls	36	208	199	407						24253112_chronic_kidney_disease
Demetriou CA		24278132	2013-11-20	Age at menarche	EFO_0004703		Table 4	DNA methylation	Age at menarche	Age, breast cancer status and technical covariates	M values		Illumina HumanMethylation450	Whole blood	Age at menarche converted into a binary variable: over 11 vs under 11 years	329	1	62 age at menarche was less than or equal to 11, 267 age at menarche was greater than 11	53	0	329	329						24278132_age_at_menarche
Besingi W		24334605	2014-05-01	Smoking	EFO_0006527, EFO_0005671, EFO_0004318		Table 2	DNA methylation	Smoking	Age, sex, exposure to snuff, cell counts and technical covariates	Beta values		Illumina HumanMethylation450	Whole Blood		421	1	378 non-smokers, 43 smokers	43.8	198	223	421						24334605_smoking
Aslibekyan S		24477300	2014-01-29	n-3 PUFA intake			Table 2	DNA methylation	n-3 PUFA intake	Age, sex, community group and technical covariates	M values		Illumina HumanMethylation450	Whole Blood		185	1			91	94						185	24477300_n3_pufa_intake
Nones K		24500968	2014-05-09	Pancreatic ductal adenocarcinoma	EFO_0002517		Table S4	DNA methylation	Pancreatic ductal adenocarcinoma		Beta values		Illumina HumanMethylation450	Pancreatic ductal adenocarcinoma and adjacent nontransformed pancreata		196	1	167 cases, 29 controls										24500968_pancreatic_ductal_adenocarcinoma
Dogan MV		24559495	2014-02-22	Smoking	EFO_0006527, EFO_0005671, EFO_0004318		Table 2	DNA methylation	Smoking	Cell counts and technical covariates	Beta values		Illumina HumanMethylation450	Peripheral Blood		111	1	50 smokers, 61 non-smokers	48.4		111				111			24559495_smoking
Engel SM		24561991	2014-02-20	Birth weight	EFO_0004344		Table 2	Birth weight	DNA methylation	Sex, gestational age, season of birth, maternal age, maternal plasma cotinine, parity, dietary folate, asthma and preeclampsia	g	M values	Illumina HumanMethylation450	Cord blood		1046	1		0	562	484	1046						24561991_birth_weight
Engel SM		24561991	2014-02-20	Birth weight	EFO_0004344	Adjusted for cell counts	Table 2	Birth weight	DNA methylation	Sex, gestational age, season of birth, maternal age, maternal plasma cotinine, parity, dietary folate, asthma, preeclampsia and cell counts	g	M values	Illumina HumanMethylation450	Cord blood		1046	1		0	562	484	1046						24561991_birth_weight_adjusted_for_cell_counts
Li Y		24603599	2014-03-06	Frontotemporal dementia	Orphanet_282, HP_0000726		Table S2	DNA methylation	Frontotemporal dementia	Age, sex, ethnicity, cell counts and technical covariates	Beta values		Illumina HumanMethylation450	Whole blood		148	1	55 cases, 93 controls	68	69	79	115					33	24603599_frontotemporal_dementia
Li Y		24603599	2014-03-06	Frontotemporal dementia	Orphanet_282, HP_0000726	Dataset 2	Table S2	DNA methylation	Frontotemporal dementia	Age, sex, ethnicity, cell counts and technical covariates	Beta values		Illumina HumanMethylation450	Whole blood		165	1	73 cases, 92 controls	68	65	100	126					39	24603599_frontotemporal_dementia_dataset_2
Li Y		24603599	2014-03-06	Progressive supranuclear palsy	Orphanet_683		Table S2	DNA methylation	Progressive supranuclear palsy	Age, sex, ethnicity, disease status, cell counts and technical covariates	Beta values		Illumina HumanMethylation450	Whole blood		228	1	43 cases, 185 controls	70	46	182						46	24603599_progressive_supranuclear_palsy
Dick KJ		24630777	2014-03-13	Body mass index	EFO_0004340	Adipose tissue	Table 3	Body mass index	DNA methylation	Age, sex, smoking and technical covariates	kg/m2	Beta values	Illumina HumanMethylation450	Adipose	Regression coeffcient is the proportion change in BMI for every 0.1 unit increase in methylation	635	1		59	0	635	635						24630777_body_mass_index_adipose_tissue
Dick KJ		24630777	2014-03-13	Body mass index	EFO_0004340	Discovery	Table S2	Body mass index	DNA methylation	Age, sex, smoking and technical covariates	kg/m2	Beta values	Illumina HumanMethylation450	Whole blood	Regression coeffcient is the proportion change in BMI for every 0.1 unit increase in methylation	459	1		55	327	132	459						24630777_body_mass_index_discovery
Dick KJ		24630777	2014-03-13	Body mass index	EFO_0004340	Replication 1	Table 2	Body mass index	DNA methylation	Age, sex, smoking and technical covariates	kg/m2	Beta values	Illumina HumanMethylation450	Whole blood	Regression coeffcient is the proportion change in BMI for every 0.1 unit increase in methylation	339	1		44	74	265	339						24630777_body_mass_index_replication_1
