Author	Consortium	PMID	Date	Trait	EFO	Analysis	Source	Outcome	Exposure	Covariates	Outcome_Unit	Exposure_Unit	Array	Tissue	Further_Details	N	N_Studies	Categories	Age	N_Males	N_Females	N_EUR	N_EAS	N_SAS	N_AFR	N_AMR	N_OTH	CpG	Location	Chr	Pos	Gene	Type	Beta	SE	P	Details
Ambatipudi S	-	26864933	2016-05-01	Smoking	EFO_0006527, EFO_0005671, EFO_0004318	Current vs never smoking	Table S1	DNA methylation	Smoking	Age, breast cancer status, menopausal status, use of contraceptive pill, use of hormone replacement therapy and technical covariates	M values	-	Illumina HumanMethylation450	Peripheral blood	-	721	1	193 current smokers, 528 never smokers	52.6	-	721	721	-	-	-	-	-	cg06351796	chr6:16345634	6	16345634	ATXN1	Open sea	-	-	4.07e-05	-
Ambatipudi S	-	26864933	2016-05-01	Smoking	EFO_0006527, EFO_0005671, EFO_0004318	Current vs never smoking	Table S1	DNA methylation	Smoking	Age, breast cancer status, menopausal status, use of contraceptive pill, use of hormone replacement therapy and technical covariates	M values	-	Illumina HumanMethylation450	Peripheral blood	-	721	1	193 current smokers, 528 never smokers	52.6	-	721	721	-	-	-	-	-	cg18954479	chr6:20834224	6	20834224	CDKAL1	Open sea	-	-	8.24e-05	-
Aslibekyan S	-	24477300	2014-01-29	n-3 PUFA intake	-	-	Table 2	DNA methylation	n-3 PUFA intake	Age, sex, community group and technical covariates	M values	-	Illumina HumanMethylation450	Whole Blood	-	185	1	-	-	91	94	-	-	-	-	-	185	cg10086104	chr6:21666569	6	21666569	FLJ22536	North shore	-	-	6e-08	-
Battram T	ARIES	-	09/04/2019	Hip cortical ratio shaft	-	-	-	DNA methylation	Hip cortical ratio shaft	Age and technical covariates	Beta values		Illumina HumanMethylation450	Whole blood	-	651	1	-	48	-	651	651	-	-	-	-	-	cg04899492	chr6:24126312	6	24126312	NRSN1	Island	-0.000702	0.000147	2.08e-06	-
Battram T	ARIES	-	09/04/2019	Triglycerides in chylomicrons and extremely large VLDL	EFO_0004530	-	-	DNA methylation	Triglycerides in chylomicrons and extremely large VLDL	Age and technical covariates	Beta values	mmol/l	Illumina HumanMethylation450	Whole blood	-	641	1	-	48	-	641	641	-	-	-	-	-	cg20052079	chr6:15504923	6	15504923	JARID2	Open sea	-0.14425	0.030263	2.35e-06	-
Battram T	ARIES	-	09/04/2019	Total lipids in chylomicrons and extremely large VLDL	-	-	-	DNA methylation	Total lipids in chylomicrons and extremely large VLDL	Age and technical covariates	Beta values	mmol/l	Illumina HumanMethylation450	Whole blood	-	649	1	-	48	-	649	649	-	-	-	-	-	cg20052079	chr6:15504923	6	15504923	JARID2	Open sea	-0.123936	0.026111	2.58e-06	-
Battram T	ARIES	-	09/04/2019	Cholesterol esters in very large VLDL	EFO_0008589	-	-	DNA methylation	Cholesterol esters in very large VLDL	Age and technical covariates	Beta values	mmol/l	Illumina HumanMethylation450	Whole blood	-	621	1	-	48	-	621	621	-	-	-	-	-	cg20052079	chr6:15504923	6	15504923	JARID2	Open sea	-0.168816	0.03607	3.56e-06	-
Battram T	ARIES	-	09/04/2019	Total cholesterol in VLDL	EFO_0004574	-	-	DNA methylation	Total cholesterol in VLDL	Age and technical covariates	Beta values	mmol/l	Illumina HumanMethylation450	Whole blood	-	668	1	-	48	-	668	668	-	-	-	-	-	cg20052079	chr6:15504923	6	15504923	JARID2	Open sea	-0.029819	0.006589	7.19e-06	-
Battram T	ARIES	-	09/04/2019	Hip cortical width shaft	-	-	-	DNA methylation	Hip cortical width shaft	Age and technical covariates	Beta values		Illumina HumanMethylation450	Whole blood	-	645	1	-	48	-	645	645	-	-	-	-	-	cg04899492	chr6:24126312	6	24126312	NRSN1	Island	-0.002232	0.000496	8.01e-06	-
Battram T	ARIES	-	09/04/2019	Phospholipids in chylomicrons and extremely large VLDL	EFO_0004639	-	-	DNA methylation	Phospholipids in chylomicrons and extremely large VLDL	Age and technical covariates	Beta values	mmol/l	Illumina HumanMethylation450	Whole blood	-	644	1	-	48	-	644	644	-	-	-	-	-	cg20052079	chr6:15504923	6	15504923	JARID2	Open sea	-0.240401	0.053445	8.21e-06	-
Battram T	ARIES	-	09/04/2019	Cholesterol esters in small VLDL	EFO_0008589	-	-	DNA methylation	Cholesterol esters in small VLDL	Age and technical covariates	Beta values	mmol/l	Illumina HumanMethylation450	Whole blood	-	670	1	-	48	-	670	670	-	-	-	-	-	cg20052079	chr6:15504923	6	15504923	JARID2	Open sea	-0.029745	0.006628	8.54e-06	-
Battram T	ARIES	-	09/04/2019	Fasting cholesterol	EFO_0004574	-	-	DNA methylation	Fasting cholesterol	Age and technical covariates	Beta values		Illumina HumanMethylation450	Whole blood	-	678	1	-	48	-	678	678	-	-	-	-	-	cg13500852	chr6:15505460	6	15505460	JARID2	Open sea	-0.0095	0.002128	9.51e-06	-
Battram T	ARIES	-	09/04/2019	Phospholipids to total lipds ratio in medium HDL	EFO_0004639	-	-	DNA methylation	Phospholipids to total lipds ratio in medium HDL	Age and technical covariates	Beta values	percent	Illumina HumanMethylation450	Whole blood	-	664	1	-	48	-	664	664	-	-	-	-	-	cg27300238	chr6:21595173	6	21595173	SOX4	Island	-0.000252	5.6e-05	9.66e-06	-
Battram T	ARIES	-	09/04/2019	Saturated fatty acids	EFO_0005110	-	-	DNA methylation	Saturated fatty acids	Age and technical covariates	Beta values	mmol/l	Illumina HumanMethylation450	Whole blood	-	656	1	-	48	-	656	656	-	-	-	-	-	cg13500852	chr6:15505460	6	15505460	JARID2	Open sea	-0.043835	0.009871	1.06e-05	-
Battram T	ARIES	-	09/04/2019	Total cholesterol in small VLDL	EFO_0004574	-	-	DNA methylation	Total cholesterol in small VLDL	Age and technical covariates	Beta values	mmol/l	Illumina HumanMethylation450	Whole blood	-	671	1	-	48	-	671	671	-	-	-	-	-	cg20052079	chr6:15504923	6	15504923	JARID2	Open sea	-0.0297	0.006745	1.25e-05	-
Battram T	ARIES	-	09/04/2019	Systolic blood pressure	EFO_0006335	-	-	DNA methylation	Systolic blood pressure	Age and technical covariates	Beta values		Illumina HumanMethylation450	Whole blood	-	696	1	-	48	-	696	696	-	-	-	-	-	cg06375068	chr6:15849678	6	15849678	-	Open sea	-0.03052	0.006946	1.29e-05	-
Battram T	ARIES	-	09/04/2019	Total cholesterol in very large VLDL	EFO_0004574	-	-	DNA methylation	Total cholesterol in very large VLDL	Age and technical covariates	Beta values	mmol/l	Illumina HumanMethylation450	Whole blood	-	633	1	-	48	-	633	633	-	-	-	-	-	cg20052079	chr6:15504923	6	15504923	JARID2	Open sea	-0.126782	0.028869	1.33e-05	-
Battram T	ARIES	-	09/04/2019	Cholesterol esters in chylomicrons and extremely large VLDL	EFO_0008589	-	-	DNA methylation	Cholesterol esters in chylomicrons and extremely large VLDL	Age and technical covariates	Beta values	mmol/l	Illumina HumanMethylation450	Whole blood	-	639	1	-	48	-	639	639	-	-	-	-	-	cg20052079	chr6:15504923	6	15504923	JARID2	Open sea	-0.231817	0.053091	1.49e-05	-
Battram T	ARIES	-	09/04/2019	Total cholesterol in chylomicrons and extremely large VLDL	EFO_0004574	-	-	DNA methylation	Total cholesterol in chylomicrons and extremely large VLDL	Age and technical covariates	Beta values	mmol/l	Illumina HumanMethylation450	Whole blood	-	648	1	-	48	-	648	648	-	-	-	-	-	cg20052079	chr6:15504923	6	15504923	JARID2	Open sea	-0.189518	0.044264	2.15e-05	-
Battram T	ARIES	-	09/04/2019	Remnant cholesterol non-HDL or non-LDL cholesterol	-	-	-	DNA methylation	Remnant cholesterol non-HDL or non-LDL cholesterol	Age and technical covariates	Beta values	mmol/l	Illumina HumanMethylation450	Whole blood	-	671	1	-	48	-	671	671	-	-	-	-	-	cg20052079	chr6:15504923	6	15504923	JARID2	Open sea	-0.03505	0.008214	2.28e-05	-
Battram T	ARIES	-	09/04/2019	Phospholipids in very large VLDL	EFO_0004639	-	-	DNA methylation	Phospholipids in very large VLDL	Age and technical covariates	Beta values	mmol/l	Illumina HumanMethylation450	Whole blood	-	614	1	-	48	-	614	614	-	-	-	-	-	cg20052079	chr6:15504923	6	15504923	JARID2	Open sea	-0.129175	0.030309	2.36e-05	-
Battram T	ARIES	-	09/04/2019	Free cholesterol in very large VLDL	EFO_0008591	-	-	DNA methylation	Free cholesterol in very large VLDL	Age and technical covariates	Beta values	mmol/l	Illumina HumanMethylation450	Whole blood	-	622	1	-	48	-	622	622	-	-	-	-	-	cg20052079	chr6:15504923	6	15504923	JARID2	Open sea	-0.156895	0.036987	2.57e-05	-
Battram T	ARIES	-	09/04/2019	Concentration of very large VLDL particles	-	-	-	DNA methylation	Concentration of very large VLDL particles	Age and technical covariates	Beta values	mol/l	Illumina HumanMethylation450	Whole blood	-	603	1	-	48	-	603	603	-	-	-	-	-	cg20052079	chr6:15504923	6	15504923	JARID2	Open sea	-33.80532	7.971732	2.6e-05	-
Battram T	ARIES	-	09/04/2019	Valine	EFO_0009792	-	-	DNA methylation	Valine	Age and technical covariates	Beta values	mmol/l	Illumina HumanMethylation450	Whole blood	-	672	1	-	48	-	672	672	-	-	-	-	-	cg00468410	chr6:20239552	6	20239552	-	Open sea	-0.134373	0.031758	2.67e-05	-
