Author	Consortium	PMID	Date	Trait	EFO	Analysis	Source	Outcome	Exposure	Covariates	Outcome_Unit	Exposure_Unit	Array	Tissue	Further_Details	N	N_Studies	Categories	Age	N_Males	N_Females	N_EUR	N_EAS	N_SAS	N_AFR	N_AMR	N_OTH	CpG	Location	Chr	Pos	Gene	Type	Beta	SE	P	Details
Battram T	ARIES	-	09/04/2019	Acetoacetate	-	-	-	DNA methylation	Acetoacetate	Age and technical covariates	Beta values	mmol/l	Illumina HumanMethylation450	Whole blood	-	662	1	-	48	-	662	662	-	-	-	-	-	cg00029284	chr12:111731203	12	111731203	CUX2	Open sea	-0.055278	0.026953	0.0407	-
Battram T	ARIES	-	09/04/2019	Acetate	-	-	-	DNA methylation	Acetate	Age and technical covariates	Beta values	mmol/l	Illumina HumanMethylation450	Whole blood	-	668	1	-	48	-	668	668	-	-	-	-	-	cg00029284	chr12:111731203	12	111731203	CUX2	Open sea	-0.012291	0.006234	0.0491	-
Battram T	ARIES	-	09/04/2019	Hip shaft area	-	-	-	DNA methylation	Hip shaft area	Age and technical covariates	Beta values	cm2	Illumina HumanMethylation450	Whole blood	-	688	1	-	48	-	688	688	-	-	-	-	-	cg00029284	chr12:111731203	12	111731203	CUX2	Open sea	-0.066715	0.034145	0.0511	-
Battram T	ARIES	-	09/04/2019	Cholesterol esters to total lipids ratio in very large VLDL	EFO_0008589	-	-	DNA methylation	Cholesterol esters to total lipids ratio in very large VLDL	Age and technical covariates	Beta values	percent	Illumina HumanMethylation450	Whole blood	-	591	1	-	48	-	591	591	-	-	-	-	-	cg00029284	chr12:111731203	12	111731203	CUX2	Open sea	0.000734	0.000383	0.0557	-
Battram T	ARIES	-	09/04/2019	Common carotid intima-media thickness	EFO_0004860	-	-	DNA methylation	Common carotid intima-media thickness	Age and technical covariates	Beta values	mm	Illumina HumanMethylation450	Whole blood	-	685	1	-	48	-	685	685	-	-	-	-	-	cg00029284	chr12:111731203	12	111731203	CUX2	Open sea	-0.063196	0.035514	0.0756	-
Battram T	ARIES	-	09/04/2019	Total cholesterol to total lipids ratio in chylomicrons and XXL-VLDL	EFO_0004574	-	-	DNA methylation	Total cholesterol to total lipids ratio in chylomicrons and XXL-VLDL	Age and technical covariates	Beta values	percent	Illumina HumanMethylation450	Whole blood	-	638	1	-	48	-	638	638	-	-	-	-	-	cg00029284	chr12:111731203	12	111731203	CUX2	Open sea	0.000567	0.000321	0.078	-
Battram T	ARIES	-	09/04/2019	Cholesterol esters to total lipids ratio in small VLDL	EFO_0008589	-	-	DNA methylation	Cholesterol esters to total lipids ratio in small VLDL	Age and technical covariates	Beta values	percent	Illumina HumanMethylation450	Whole blood	-	668	1	-	48	-	668	668	-	-	-	-	-	cg00029284	chr12:111731203	12	111731203	CUX2	Open sea	0.00081	0.000461	0.0792	-
Battram T	ARIES	-	09/04/2019	Total cholesterol to total lipids ratio in small VLDL	EFO_0004574	-	-	DNA methylation	Total cholesterol to total lipids ratio in small VLDL	Age and technical covariates	Beta values	percent	Illumina HumanMethylation450	Whole blood	-	668	1	-	48	-	668	668	-	-	-	-	-	cg00029284	chr12:111731203	12	111731203	CUX2	Open sea	0.000769	0.000448	0.0862	-
Battram T	ARIES	-	09/04/2019	Leg bone mineral density both	EFO_0007591	-	-	DNA methylation	Leg bone mineral density both	Age and technical covariates	Beta values	g/cm2	Illumina HumanMethylation450	Whole blood	-	693	1	-	48	-	693	693	-	-	-	-	-	cg00029284	chr12:111731203	12	111731203	CUX2	Open sea	-0.031174	0.018953	0.1	-
Battram T	ARIES	-	09/04/2019	Total cholesterol to total lipids ratio in small HDL	EFO_0004574	-	-	DNA methylation	Total cholesterol to total lipids ratio in small HDL	Age and technical covariates	Beta values	percent	Illumina HumanMethylation450	Whole blood	-	669	1	-	48	-	669	669	-	-	-	-	-	cg00029284	chr12:111731203	12	111731203	CUX2	Open sea	0.00094	0.000571	0.1	-
Battram T	ARIES	-	09/04/2019	Arm area both	-	-	-	DNA methylation	Arm area both	Age and technical covariates	Beta values	cm2	Illumina HumanMethylation450	Whole blood	-	688	1	-	48	-	688	688	-	-	-	-	-	cg00029284	chr12:111731203	12	111731203	CUX2	Open sea	9e-05	5.6e-05	0.113	-
Battram T	ARIES	-	09/04/2019	Cholesterol esters to total lipids ratio in small HDL	EFO_0008589	-	-	DNA methylation	Cholesterol esters to total lipids ratio in small HDL	Age and technical covariates	Beta values	percent	Illumina HumanMethylation450	Whole blood	-	669	1	-	48	-	669	669	-	-	-	-	-	cg00029284	chr12:111731203	12	111731203	CUX2	Open sea	0.000777	0.000508	0.126	-
Battram T	ARIES	-	09/04/2019	Cholesterol esters in small VLDL	EFO_0008589	-	-	DNA methylation	Cholesterol esters in small VLDL	Age and technical covariates	Beta values	mmol/l	Illumina HumanMethylation450	Whole blood	-	670	1	-	48	-	670	670	-	-	-	-	-	cg00029284	chr12:111731203	12	111731203	CUX2	Open sea	0.008806	0.005845	0.132	-
Battram T	ARIES	-	09/04/2019	Triglycerides to total lipids ratio in medium VLDL	EFO_0004530	-	-	DNA methylation	Triglycerides to total lipids ratio in medium VLDL	Age and technical covariates	Beta values	percent	Illumina HumanMethylation450	Whole blood	-	666	1	-	48	-	666	666	-	-	-	-	-	cg00029284	chr12:111731203	12	111731203	CUX2	Open sea	-0.000522	0.000348	0.134	-
